from_GEM(X),to_GEM(Y),ligand(L),receptor(R),pvalue,adj.pvalue,corr (cond.),corr (L-X),corr (R-X),corr (LR-X),corr (Y-X),corr (L-Y),corr (R-Y),corr (LR-Y),Freq,edge
Stroma21,Stroma18,BMP2,BMPR2,0.048,0.0546,0.1618,0.345,0.4831,0.5223,0.4428,0.1901,0.7493,0.6463,7,Stroma21 -> Stroma18
Stroma21,Stroma18,VEGFA,FLT1,0.0824,0.0915,0.1423,0.5166,0.3129,0.5238,0.4428,0.2811,0.7728,0.6746,29,Stroma21 -> Stroma18
Stroma21,Stroma18,VEGFA,KDR,0.2046,0.2191,0.1042,0.5166,0.3135,0.5115,0.4428,0.2811,0.8235,0.75,12,Stroma21 -> Stroma18
Stroma44,Stroma18,ESAM,ESAM,0.2134,0.2282,0.1022,0.5915,0.5915,0.6093,0.5548,0.7989,0.7989,0.8379,3,Stroma44 -> Stroma18
Stroma44,Stroma18,CDH5,CDH5,0.2986,0.3151,0.0854,0.5685,0.5685,0.585,0.5548,0.8657,0.8657,0.8956,0,Stroma44 -> Stroma18
Stroma43,Myeloid6,ICAM1,ITGB2,0.095,0.1049,0.1368,0.5394,0.2024,0.4064,0.3267,0.3115,0.683,0.5462,0,Stroma43 -> Myeloid6
TNK12,PlasmaB14,ICAM3,ITGAL,0.1277,0.1394,0.1249,0.6741,0.6403,0.7115,0.6244,0.6474,0.8135,0.8043,0,TNK12 -> PlasmaB14
Stroma43,Stroma8,COL1A1,CD44,0.0561,0.0634,0.1563,0.1814,0.3936,0.3739,0.325,0.7652,0.1068,0.5437,0,Stroma43 -> Stroma8
Stroma1,Stroma68,COL1A1,ITGAV,0.0856,0.095,-0.1408,0.5349,0.3594,0.4871,-0.3309,-0.3847,-0.4656,-0.4545,27,Stroma1 -> Stroma68
Stroma1,Stroma68,COL1A1,ITGB1,0.0939,0.1038,-0.1373,0.5349,0.3978,0.5024,-0.3309,-0.3847,-0.4071,-0.4475,27,Stroma1 -> Stroma68
Stroma5,Stroma23,FN1,ITGA4,0.1039,0.1144,-0.1333,-0.4351,-0.4346,-0.5285,-0.4187,0.6585,0.3385,0.6251,25,Stroma5 -> Stroma23
Stroma1,Stroma68,FN1,ITGAV,0.173,0.1865,-0.1118,0.5328,0.3594,0.4649,-0.3309,-0.5545,-0.4656,-0.5314,20,Stroma1 -> Stroma68
Stroma5,Stroma23,TGFB1,TGFBR1,0.0718,0.0803,-0.1474,-0.5383,-0.419,-0.5057,-0.4187,0.5799,0.5283,0.6333,0,Stroma5 -> Stroma23
Stroma1,Stroma68,TNC,ITGB1,0.0516,0.0585,-0.1593,0.4724,0.3978,0.4745,-0.3309,-0.3579,-0.4071,-0.4308,24,Stroma1 -> Stroma68
Stroma1,Stroma68,TNC,ITGAV,0.0709,0.0793,-0.1479,0.4724,0.3594,0.4692,-0.3309,-0.3579,-0.4656,-0.4578,24,Stroma1 -> Stroma68
Stroma1,Stroma68,FN1,ITGB1,0.1956,0.2098,-0.1063,0.5328,0.3978,0.4845,-0.3309,-0.5545,-0.4071,-0.5191,22,Stroma1 -> Stroma68
Stroma1,Stroma68,TGFB3,TGFBR1,0.0465,0.053,-0.1628,0.4569,0.2431,0.3907,-0.3309,-0.5057,-0.397,-0.5192,23,Stroma1 -> Stroma68
Stroma1,Stroma68,FN1,ITGA5,0.4657,0.4827,-0.06,0.5328,0.5221,0.5245,-0.3309,-0.5545,-0.5143,-0.5496,25,Stroma1 -> Stroma68
Stroma5,Stroma23,PDGFB,PDGFRB,0.0916,0.1013,-0.1382,-0.425,-0.4096,-0.4558,-0.4187,0.5664,0.7981,0.7357,0,Stroma5 -> Stroma23
Myeloid11,TNK35,SPP1,ITGA4,0.0466,0.053,0.1628,0.7604,-0.0147,0.4808,0.3701,0.2024,0.6242,0.5153,2,Myeloid11 -> TNK35
Myeloid11,TNK35,ITGAM,ICAM1,0.0586,0.066,0.1548,0.6988,0.35,0.5579,0.3701,0.4776,0.4077,0.4587,0,Myeloid11 -> TNK35
TNK22,TNK7,ITGAL,CD226,0.4678,0.4848,0.0597,0.6727,0.6554,0.7115,0.5687,0.6951,0.7868,0.761,30,TNK22 -> TNK7
PlasmaB14,TNK12,ICAM3,ITGAL,0.1277,0.1394,0.1249,0.6474,0.8135,0.8043,0.6244,0.6741,0.6403,0.7115,0,PlasmaB14 -> TNK12
Myeloid11,TNK35,ITGB2,ICAM1,0.1522,0.1649,0.1175,0.5638,0.35,0.4982,0.3701,0.6536,0.4077,0.5757,18,Myeloid11 -> TNK35
Myeloid11,TNK35,ICAM1,ITGB2,0.1522,0.1649,0.1175,0.35,0.5638,0.4982,0.3701,0.4077,0.6536,0.5757,18,Myeloid11 -> TNK35
PlasmaB14,Myeloid33,ICAM3,ITGAL,0.0805,0.0895,0.1432,0.6474,0.8135,0.8043,0.4182,0.2967,0.5445,0.4241,1,PlasmaB14 -> Myeloid33
Myeloid11,TNK35,CD86,CTLA4,0.0764,0.0852,0.1451,0.6088,-0.0018,0.3855,0.3701,0.5514,0.6369,0.7184,0,Myeloid11 -> TNK35
Stroma5,Stroma23,PLEKHO2,PDGFRB,0.4189,0.4361,-0.0665,-0.46,-0.4096,-0.4872,-0.4187,0.627,0.7981,0.7856,16,Stroma5 -> Stroma23
Stroma14,Stroma5,COL1A1,ITGA11,0.217,0.2319,-0.1014,0.8312,0.745,0.8107,-0.3181,-0.2725,-0.3224,-0.3231,22,Stroma14 -> Stroma5
Stroma14,Stroma5,COL1A1,ITGB1,0.2441,0.2596,-0.0957,0.8312,0.5642,0.7602,-0.3181,-0.2725,-0.2992,-0.3416,30,Stroma14 -> Stroma5
PlasmaB14,Myeloid32,TGFB1,TGFBR2,0.1532,0.1659,-0.1172,0.5054,0.2913,0.4887,-0.3679,-0.4108,-0.5983,-0.5828,0,PlasmaB14 -> Myeloid32
