from_GEM(X),to_GEM(Y),ligand(L),receptor(R),pvalue,adj.pvalue,corr (cond.),corr (L-X),corr (R-X),corr (LR-X),corr (Y-X),corr (L-Y),corr (R-Y),corr (LR-Y),Freq,edge
Stroma21,Stroma18,BMP2,BMPR2,0.048,0.0546,0.1618,0.345,0.4831,0.5223,0.4428,0.1901,0.7493,0.6463,7,Stroma21 -> Stroma18
Stroma21,Stroma18,VEGFA,FLT1,0.0824,0.0915,0.1423,0.5166,0.3129,0.5238,0.4428,0.2811,0.7728,0.6746,29,Stroma21 -> Stroma18
Stroma21,Stroma18,VEGFA,KDR,0.2046,0.2191,0.1042,0.5166,0.3135,0.5115,0.4428,0.2811,0.8235,0.75,12,Stroma21 -> Stroma18
Stroma8,Stroma43,COL1A1,CD44,0.0561,0.0634,0.1563,0.7652,0.1068,0.5437,0.325,0.1814,0.3936,0.3739,0,Stroma8 -> Stroma43
Stroma19,Stroma59,IL6,IL6ST,0.0853,0.0946,-0.141,-0.2668,-0.3758,-0.3789,-0.3396,0.5159,0.5434,0.6283,14,Stroma19 -> Stroma59
Stroma19,Stroma59,ESAM,ESAM,0.0449,0.0512,-0.164,-0.3218,-0.3218,-0.3313,-0.3396,0.6796,0.6796,0.6844,30,Stroma19 -> Stroma59
Stroma19,Stroma59,CDH5,CDH5,0.1237,0.1352,-0.1262,-0.3525,-0.3525,-0.3645,-0.3396,0.6997,0.6997,0.7018,24,Stroma19 -> Stroma59
Stroma19,Stroma59,CD34,SELL,0.1743,0.1879,-0.1115,-0.3596,-0.2743,-0.3781,-0.3396,0.7196,0.4095,0.7043,30,Stroma19 -> Stroma59
Stroma19,Stroma59,PTPRM,PTPRM,0.3052,0.3217,-0.0843,-0.4048,-0.4048,-0.4101,-0.3396,0.7073,0.7073,0.6928,30,Stroma19 -> Stroma59
Stroma19,Stroma59,JAM3,JAM2,0.5334,0.5498,-0.0513,-0.3847,-0.3705,-0.4128,-0.3396,0.6074,0.801,0.7474,27,Stroma19 -> Stroma59
Stroma19,Stroma59,JAM2,JAM2,0.4515,0.4686,-0.0619,-0.3705,-0.3705,-0.3824,-0.3396,0.801,0.801,0.7977,30,Stroma19 -> Stroma59
Stroma19,Stroma4,SPP1,ITGAV,0.0522,0.0592,-0.1588,-0.1708,-0.3725,-0.3188,-0.3258,0.3588,0.7414,0.6722,1,Stroma19 -> Stroma4
Stroma19,Stroma4,JAM2,JAM2,0.1382,0.1504,-0.1216,-0.3705,-0.3705,-0.3824,-0.3258,0.6241,0.6241,0.6217,29,Stroma19 -> Stroma4
Stroma19,Stroma4,TGFB1,TGFBR2,0.0773,0.0861,-0.1447,-0.2403,-0.3599,-0.3511,-0.3258,0.5765,0.5098,0.6272,18,Stroma19 -> Stroma4
Stroma19,Stroma4,IL6,IL6ST,0.3386,0.3555,-0.0787,-0.2668,-0.3758,-0.3789,-0.3258,0.5959,0.6333,0.728,21,Stroma19 -> Stroma4
Stroma19,Stroma4,INHBB,ACVR1,0.1602,0.1732,-0.1153,-0.2945,-0.3317,-0.3826,-0.3258,0.513,0.605,0.6369,24,Stroma19 -> Stroma4
Stroma19,Stroma4,JAM2,ITGB1,0.7112,0.7238,-0.0305,-0.3705,-0.3147,-0.4041,-0.3258,0.6241,0.7152,0.7614,30,Stroma19 -> Stroma4
Stroma19,Stroma4,CDH5,CDH5,0.339,0.3558,-0.0786,-0.3525,-0.3525,-0.3645,-0.3258,0.7507,0.7507,0.7641,27,Stroma19 -> Stroma4
Stroma19,Stroma4,ESAM,ESAM,0.1426,0.155,-0.1203,-0.3218,-0.3218,-0.3313,-0.3258,0.7579,0.7579,0.7613,30,Stroma19 -> Stroma4
Myeloid9,TNK14,OSM,IL6ST,0.0776,0.0864,0.1446,0.5001,0.6235,0.686,0.3285,0.3638,0.2615,0.3344,0,Myeloid9 -> TNK14
Stroma19,Stroma4,JAM3,JAM2,0.722,0.7343,-0.0293,-0.3847,-0.3705,-0.4128,-0.3258,0.7846,0.6241,0.746,30,Stroma19 -> Stroma4
Stroma19,Stroma4,JAM2,JAM3,0.722,0.7343,-0.0293,-0.3705,-0.3847,-0.4128,-0.3258,0.6241,0.7846,0.746,30,Stroma19 -> Stroma4
Stroma19,Stroma4,JAM3,JAM3,0.6562,0.6704,-0.0366,-0.3847,-0.3847,-0.3903,-0.3258,0.7846,0.7846,0.7807,12,Stroma19 -> Stroma4
Myeloid9,TNK14,FN1,ITGA4,0.5479,0.5641,0.0494,0.432,0.5414,0.6518,0.3285,0.0704,0.673,0.4527,0,Myeloid9 -> TNK14
Myeloid9,TNK14,SPP1,ITGA4,0.1698,0.1833,0.1127,0.2269,0.5414,0.5157,0.3285,0.0961,0.673,0.472,0,Myeloid9 -> TNK14
Myeloid9,TNK14,ICOSLG,CTLA4,0.5432,0.5595,-0.05,0.5747,0.3812,0.612,0.3285,0.2613,0.687,0.589,0,Myeloid9 -> TNK14
Myeloid9,TNK14,ALCAM,CD6,0.1235,0.1349,0.1263,0.3822,0.2235,0.4377,0.3285,-0.0005,0.7549,0.5306,0,Myeloid9 -> TNK14
Stroma19,Stroma4,PTPRM,PTPRM,0.8232,0.8319,0.0184,-0.4048,-0.4048,-0.4101,-0.3258,0.8203,0.8203,0.8178,30,Stroma19 -> Stroma4
Myeloid9,TNK14,IL18,IL18R1,0.0697,0.078,0.1485,0.0977,0.4873,0.4285,0.3285,0.1087,0.6764,0.4944,0,Myeloid9 -> TNK14
Stroma19,Stroma4,VWF,ITGAV,0.9415,0.9449,0.006,-0.3548,-0.3725,-0.4029,-0.3258,0.7317,0.7414,0.8165,30,Stroma19 -> Stroma4
Myeloid9,TNK14,ICOSLG,ICOS,0.6265,0.6413,-0.0401,0.5747,0.3563,0.5869,0.3285,0.2613,0.7623,0.6038,0,Myeloid9 -> TNK14
Stroma59,Stroma19,ESAM,ESAM,0.0449,0.0512,-0.164,0.6796,0.6796,0.6844,-0.3396,-0.3218,-0.3218,-0.3313,30,Stroma59 -> Stroma19
