"","from","to","edge_direction","edge_type","frequency"
"4","B1","B3","-->","dd_nl/pd_nl",47
"26","B1","TNK1","-->","dd_nl/pd_nl",34
"57","B10","B2","-->","dd_nl/pd_nl",22
"155","B12","B42","-->","dd_nl/pd_nl",21
"176","B12","Mye8","-->","dd_nl/pd_nl",30
"195","B12","TNK35","-->","dd_nl/pd_nl",50
"217","B14","B39","-->","dd_nl/pd_nl",32
"219","B14","B41","-->","dd_nl/pd_nl",25
"225","B14","B63","-->","dd_nl/pd_nl",47
"375","B18","B51","-->","dd_nl/pd_nl",48
"403","B18","Stromal85","-->","dd_nl/pd_nl",24
"447","B19","B63","-->","dd_nl/pd_nl",38
"490","B19","TNK10","-->","dd_nl/pd_nl",23
"535","B2","B7","-->","dd_nl/pd_nl",60
"545","B2","Mye1","-->","dd_nl/pd_nl",22
"576","B2","TNK38","-->","dd_nl/pd_nl",38
"601","B20","Epi56","-->","dd_nl/pd_nl",22
"622","B20","Stromal68","-->","dd_nl/pd_nl",33
"645","B21","Epi2","-->","dd_nl/pd_nl",57
"667","B21","TNK19","-->","dd_nl/pd_nl",44
"705","B23","Mye24","-->","dd_nl/pd_nl",50
"712","B23","Mye73","-->","dd_nl/pd_nl",27
"765","B26","B15","-->","dd_nl/pd_nl",59
"875","B3","B1","-->","dd_nl/pd_nl",30
"899","B3","Mye53","-->","dd_nl/pd_nl",30
"912","B3","TNK2","-->","dd_nl/pd_nl",44
"932","B30","B10","-->","dd_nl/pd_nl",52
"972","B32","B10","-->","dd_nl/pd_nl",79
"995","B32","Epi6","-->","dd_nl/pd_nl",27
"1004","B32","Mye4","-->","dd_nl/pd_nl",44
"1009","B32","Stromal10","-->","dd_nl/pd_nl",39
"1032","B32","TNK16","-->","dd_nl/pd_nl",63
"1078","B35","B19","-->","dd_nl/pd_nl",26
"1098","B35","Mye72","-->","dd_nl/pd_nl",24
"1115","B35","TNK50","-->","dd_nl/pd_nl",24
"1183","B38","TNK22","-->","dd_nl",21
"1203","B39","B14","-->","dd_nl/pd_nl",24
"1287","B4","B2","-->","dd_nl/pd_nl",28
"1302","B4","Mye3","-->","dd_nl/pd_nl",21
"1306","B4","Mye47","-->","dd_nl/pd_nl",37
"1313","B4","Stromal56","-->","dd_nl/pd_nl",35
"1318","B4","TNK3","-->","dd_nl/pd_nl",27
"1365","B41","Stromal21","-->","dd_nl/pd_nl",83
"1369","B41","Stromal56","-->","dd_nl/pd_nl",32
"1465","B5","B8","-->","dd_nl",36
"1503","B51","B18","-->","dd_nl/pd_nl",25
"1524","B51","Mye71","-->","dd_nl/pd_nl",34
"1527","B51","Mye84","-->","dd_nl/pd_nl",22
"1663","B57","TNK10","-->","dd_nl/pd_nl",23
"1678","B57","TNK42","-->","dd_nl/pd_nl",23
"1759","B6","TNK67","-->","dd_nl/pd_nl",39
"1833","B7","B2","-->","dd_nl/pd_nl",28
"1846","B7","Mye3","-->","dd_nl/pd_nl",25
"1873","B8","B5","-->","dd_nl",41
"1881","B8","TNK11","-->","dd_nl",23
"1958","B84","Mye1","-->","dd_nl/pd_nl",24
"1969","B84","Mye33","-->","dd_nl",21
"1971","B84","Mye42","-->","dd_nl/pd_nl",42
"2089","B9","TNK56","-->","dd_nl/pd_nl",29
"2144","Epi1","Epi24","-->","dd_nl/pd_nl",79
"2151","Epi1","Epi6","-->","dd_nl/pd_nl",23
"2190","Epi10","B21","-->","dd_nl/pd_nl",58
"2203","Epi10","Epi2","-->","dd_nl/pd_nl",24
"2260","Epi11","Epi21","-->","dd_nl/pd_nl",46
"2269","Epi11","Epi82","-->","dd_nl/pd_nl",66
"2287","Epi12","Epi35","-->","dd_nl",43
"2300","Epi13","Epi17","-->","dd_nl/pd_nl",39
"2306","Epi13","Epi43","-->","dd_nl/pd_nl",66
"2313","Epi13","Epi58","-->","dd_nl/pd_nl",24
"2321","Epi13","Epi80","-->","dd_nl/pd_nl",26
"2350","Epi14","Epi35","-->","dd_nl/pd_nl",45
"2352","Epi14","Epi36","-->","dd_nl/pd_nl",22
"2440","Epi16","Epi3","-->","dd_nl/pd_nl",38
"2444","Epi16","Epi40","-->","dd_nl/pd_nl",52
"2453","Epi16","Epi62","-->","dd_nl/pd_nl",30
"2456","Epi16","Epi77","-->","dd_nl/pd_nl",24
"2512","Epi17","Epi13","-->","dd_nl/pd_nl",36
"2518","Epi17","Epi42","-->","dd_nl/pd_nl",22
"2562","Epi18","Epi15","-->","dd_nl/pd_nl",22
"2567","Epi18","Epi34","-->","dd_nl/pd_nl",24
"2574","Epi18","Epi44","-->","dd_nl/pd_nl",52
"2578","Epi18","Epi46","-->","dd_nl/pd_nl",52
"2580","Epi18","Epi50","-->","dd_nl/pd_nl",44
"2615","Epi19","Epi68","-->","dd_nl/pd_nl",78
"2629","Epi19","Stromal68","-->","dd_nl/pd_nl",25
"2654","Epi2","B21","-->","dd_nl/pd_nl",25
"2658","Epi2","B63","-->","dd_nl/pd_nl",21
"2688","Epi2","TNK19","-->","dd_nl/pd_nl",45
"2716","Epi20","Epi34","-->","dd_nl/pd_nl",22
"2720","Epi20","Epi4","-->","dd_nl/pd_nl",56
"2740","Epi21","Epi11","-->","dd_nl/pd_nl",48
"2778","Epi22","Epi25","-->","dd_nl/pd_nl",73
"2789","Epi22","Epi5","-->","dd_nl/pd_nl",76
"2792","Epi22","Epi55","-->","dd_nl/pd_nl",22
"2794","Epi22","Epi57","-->","dd_nl/pd_nl",29
"2796","Epi22","Epi73","-->","dd_nl/pd_nl",31
"2857","Epi23","TNK23","-->","dd_nl/pd_nl",53
"2911","Epi25","Epi53","-->","dd_nl/pd_nl",22
"2968","Epi26","TNK4","-->","dd_nl/pd_nl",51
"3002","Epi3","B81","-->","dd_nl/pd_nl",63
"3081","Epi32","Epi7","-->","dd_nl/pd_nl",74
"3083","Epi32","Epi77","-->","dd_nl/pd_nl",53
"3115","Epi34","Epi20","-->","dd_nl/pd_nl",68
"3143","Epi35","Epi12","-->","dd_nl/pd_nl",49
"3145","Epi35","Epi14","-->","dd_nl/pd_nl",43
"3151","Epi35","Epi46","-->","dd_nl/pd_nl",33
"3170","Epi36","Epi13","-->","dd_nl/pd_nl",48
"3175","Epi36","Epi17","-->","dd_nl/pd_nl",46
"3185","Epi36","Epi76","-->","dd_nl/pd_nl",27
"3187","Epi36","Epi78","-->","dd_nl/pd_nl",24
"3246","Epi4","Epi43","-->","dd_nl/pd_nl",26
"3274","Epi40","Epi42","-->","dd_nl",58
"3292","Epi41","Epi58","-->","dd_nl/pd_nl",88
"3307","Epi42","Epi40","-->","dd_nl/pd_nl",28
"3332","Epi43","Epi76","-->","dd_nl",55
"3355","Epi44","Epi12","-->","dd_nl/pd_nl",34
"3364","Epi44","Epi57","-->","dd_nl/pd_nl",37
"3416","Epi46","Epi41","-->","dd_nl/pd_nl",53
"3419","Epi46","Epi72","-->","dd_nl/pd_nl",44
"3456","Epi49","Epi43","-->","dd_nl/pd_nl",25
"3487","Epi49","Mye77","-->","dd_nl/pd_nl",30
"3516","Epi49","TNK16","-->","dd_nl/pd_nl",27
"3549","Epi5","Epi7","-->","dd_nl",51
"3558","Epi50","Epi18","-->","dd_nl",22
"3562","Epi50","Epi45","-->","dd_nl/pd_nl",74
"3610","Epi55","Epi34","-->","dd_nl/pd_nl",22
"3612","Epi55","Epi35","-->","dd_nl/pd_nl",25
"3676","Epi56","TNK18","-->","dd_nl/pd_nl",23
"3679","Epi56","TNK23","-->","dd_nl/pd_nl",27
"3695","Epi57","Epi34","-->","dd_nl/pd_nl",56
"3701","Epi57","Epi50","-->","dd_nl/pd_nl",38
"3703","Epi57","Epi72","-->","dd_nl/pd_nl",42
"3736","Epi6","B4","-->","dd_nl/pd_nl",42
"3740","Epi6","B81","-->","dd_nl/pd_nl",72
"3742","Epi6","Epi1","-->","dd_nl/pd_nl",52
"3827","Epi62","Epi16","-->","dd_nl/pd_nl",29
"3863","Epi64","Epi16","-->","dd_nl/pd_nl",21
"3876","Epi64","Epi62","-->","dd_nl/pd_nl",50
"3878","Epi64","Epi74","-->","dd_nl/pd_nl",22
"3887","Epi64","Mye56","-->","dd_nl/pd_nl",43
"3964","Epi68","TNK23","-->","dd_nl/pd_nl",31
"3978","Epi7","Epi5","-->","dd_nl",23
"4001","Epi72","Epi46","-->","dd_nl/pd_nl",46
"4040","Epi73","Epi57","-->","dd_nl/pd_nl",41
"4042","Epi73","Epi72","-->","dd_nl/pd_nl",25
"4069","Epi74","Epi20","-->","dd_nl/pd_nl",47
"4093","Epi75","Epi21","-->","dd_nl/pd_nl",38
"4116","Epi75","Stromal22","-->","dd_nl/pd_nl",27
"4132","Epi76","Epi46","-->","dd_nl/pd_nl",21
"4150","Epi77","Epi18","-->","dd_nl/pd_nl",83
"4158","Epi77","Epi45","-->","dd_nl/pd_nl",29
"4161","Epi77","Epi56","-->","dd_nl/pd_nl",25
"4167","Epi77","Epi73","-->","dd_nl/pd_nl",74
"4198","Epi78","Epi22","-->","dd_nl/pd_nl",50
"4201","Epi78","Epi36","-->","dd_nl/pd_nl",42
"4203","Epi78","Epi4","-->","dd_nl/pd_nl",33
"4210","Epi78","Epi53","-->","dd_nl/pd_nl",68
"4220","Epi78","Epi74","-->","dd_nl/pd_nl",73
"4224","Epi78","Epi82","-->","dd_nl/pd_nl",22
"4303","Epi79","TNK32","-->","dd_nl/pd_nl",41
"4305","Epi79","TNK35","-->","dd_nl/pd_nl",23
"4373","Epi79","TNK32","o->","NA_NA",29
"4375","Epi79","TNK35","o->","NA_NA",22
"4409","Epi8","Epi10","-->","dd_nl/pd_nl",56
"4414","Epi8","Epi2","-->","dd_nl/pd_nl",21
"4569","Epi81","Mye2","-->","dd_nl/pd_nl",26
"4576","Epi81","Mye48","-->","dd_nl/pd_nl",36
"4643","Epi82","Epi11","-->","dd_nl/pd_nl",28
"4658","Epi82","Epi77","-->","dd_nl/pd_nl",46
"4660","Epi82","Epi78","-->","dd_nl/pd_nl",46
"4685","Epi85","Epi55","-->","dd_nl/pd_nl",55
"4691","Epi85","Mye14","-->","dd_nl/pd_nl",22
"4771","Epi9","Mye84","-->","dd_nl/pd_nl",28
"4788","Epi9","Stromal85","-->","dd_nl/pd_nl",39
"4819","Mye1","B84","-->","dd_nl/pd_nl",45
"4867","Mye10","Mye13","-->","dd_nl/pd_nl",23
"4871","Mye10","Mye2","-->","dd_nl/pd_nl",34
"4904","Mye10","TNK56","-->","dd_nl/pd_nl",31
"4929","Mye11","Mye41","-->","dd_nl/pd_nl",57
"4974","Mye12","B38","-->","dd_nl/pd_nl",45
"5017","Mye12","Mye42","-->","dd_nl/pd_nl",21
"5022","Mye12","Mye52","-->","dd_nl/pd_nl",34
"5027","Mye12","Mye74","-->","dd_nl/pd_nl",21
"5077","Mye12","TNK66","-->","dd_nl/pd_nl",27
"5172","Mye13","TNK52","-->","dd_nl/pd_nl",28
